home,away,home shots,away shots,home goals,away goals
BOS,PHI,23,29,1,2
TOR,MTL,18,32,2,0
VAN,PIT,36,28,3,4
CAR,TBL,33,34,1,5
DET,OTT,39,32,5,3
CBJ,NSH,34,31,2,3
BUF,ANA,25,30,4,1
DAL,CHI,33,38,2,1
LAK,NYR,30,26,3,2
BOS,TBL,42,26,4,1
TOR,OTT,35,32,6,5
NJD,PHI,20,29,0,3
WSH,CAR,36,31,4,3
NYI,FLA,27,29,0,2
STL,NSH,33,16,2,4
MIN,CBJ,26,31,4,2
CHI,DAL,31,21,5,2
COL,DET,29,39,0,3
CGY,PIT,20,37,3,5
ANA,NYR,28,15,2,1
SJS,PHX,52,29,6,3
LAK,BUF,33,26,2,4
WPG,MTL,31,22,1,5
EDM,PIT,35,34,2,1
BOS,COL,30,36,0,1
NJD,CAR,26,26,4,2
NYI,MIN,14,21,2,1
STL,CGY,35,17,5,2
WSH,TBL,43,28,6,5
CBJ,VAN,25,25,2,3
DAL,PHX,25,41,2,1
PIT,FLA,29,34,4,2
OTT,MIN,44,27,4,3
CBJ,COL,33,32,2,3
PHI,VAN,27,40,5,4
CAR,BOS,34,28,3,2
NJD,LAK,37,27,2,1
NYI,TBL,34,35,5,1
PIT,WSH,41,19,2,3
MTL,CGY,36,21,1,4
OTT,COL,16,39,1,7
DET,VAN,37,25,2,0
NSH,PHX,25,31,2,5
MIN,EDM,35,22,2,1
CHI,WPG,32,30,4,3
DAL,STL,24,38,3,2
BUF,CAR,42,34,3,4
ANA,SJS,23,31,1,0
TOR,CGY,25,32,3,2
MTL,COL,43,30,5,6
NYI,NYR,34,31,4,2
PHI,LAK,34,26,2,3
PIT,BUF,31,28,2,3
WSH,OTT,26,34,2,1
PHX,WPG,34,19,4,1
FLA,TBL,38,30,3,2
NSH,NJD,31,41,2,3
MIN,DET,14,41,2,3
DAL,CBJ,33,15,4,2
CHI,BOS,29,37,2,3
EDM,VAN,30,26,3,4
SJS,STL,36,20,2,4
ANA,STL,23,30,4,2
TOR,COL,29,24,2,3
TBL,FLA,39,33,4,7
WPG,PIT,34,29,2,1
EDM,NSH,25,12,3,1
SJS,ANA,43,22,2,3
BOS,CAR,34,23,1,4
WSH,FLA,32,20,3,0
CBJ,DAL,40,18,2,3
MTL,BUF,41,23,1,3
OTT,PHI,23,30,2,7
MIN,PIT,26,25,2,4
CGY,EDM,28,25,2,1
VAN,NYR,40,19,0,4
PHX,CHI,16,35,2,5
LAK,STL,24,27,5,0
TOR,WPG,23,29,4,3
BOS,TOR,43,28,6,2
PHI,WSH,42,28,2,5
PIT,MTL,32,28,3,1
OTT,WPG,30,36,4,1
TBL,NYI,30,17,4,1
FLA,BUF,22,38,0,3
COL,CHI,32,30,1,3
CGY,NYR,35,29,2,3
EDM,MIN,31,31,1,2
VAN,NSH,40,26,5,1
PHX,LAK,28,22,0,2
NJD,SJS,19,41,3,4
