home,away,home shots,away shots,home goals,away goals
TOR,MTL,37,29,1,3
CHI,NYR,34,27,2,3
CGY,VAN,30,44,1,5
LAK,SJS,20,32,1,5
BOS,WPG,31,32,2,6
BUF,OTT,27,22,1,3
TBL,PHI,32,25,3,2
STL,EDM,31,25,3,1
NSH,CAR,25,26,2,1
DAL,PIT,24,37,3,0
COL,MIN,23,30,4,5
NJD,WPG,21,30,1,3
CBJ,NYR,33,25,2,4
DET,TOR,22,22,4,0
NYI,CHI,36,35,2,3
LAK,ARI,41,22,1,4
BUF,TBL,25,31,1,4
BOS,MTL,21,38,2,4
TOR,OTT,41,33,4,5
FLA,PHI,30,39,7,1
NYR,CBJ,29,39,5,2
WSH,NJD,27,25,5,3
CAR,DET,47,19,3,4
NSH,EDM,26,31,2,0
MIN,STL,19,32,3,2
CHI,NYI,34,29,4,1
COL,DAL,28,33,6,3
VAN,CGY,30,38,2,3
ARI,PIT,39,28,2,1
SJS,ANA,44,27,2,0
OTT,MTL,21,34,1,3
BOS,TBL,30,23,3,6
NYI,WPG,44,24,4,2
BUF,CBJ,33,24,4,2
PHI,FLA,33,31,1,0
ANA,VAN,29,25,1,2
NJD,NSH,23,20,1,3
NYR,WPG,41,29,1,4
PIT,MTL,33,30,2,3
WSH,SJS,31,32,0,5
CAR,FLA,23,30,1,4
DET,TBL,24,21,3,1
DAL,EDM,52,28,4,2
CGY,STL,18,28,3,4
LAK,VAN,15,26,0,3
CBJ,OTT,41,27,3,7
PHI,CHI,29,30,3,0
COL,BOS,23,25,2,6
ANA,ARI,37,29,0,4
NYI,NSH,28,47,4,3
PIT,OTT,36,22,2,0
WSH,CHI,24,27,4,1
MTL,NYR,32,25,3,0
TBL,DAL,33,22,3,5
FLA,BUF,29,26,3,2
EDM,STL,26,29,2,4
ARI,MIN,30,24,3,4
NJD,SJS,32,34,1,2
CBJ,TOR,27,34,3,6
DET,CAR,20,36,3,5
WPG,CGY,30,20,3,1
VAN,STL,34,32,3,4
ANA,COL,35,25,0,3
LAK,MIN,37,26,2,1
MTL,DET,41,22,4,1
OTT,NSH,41,25,3,4
TBL,BUF,22,32,2,1
FLA,DAL,26,37,2,4
PIT,TOR,33,27,2,1
WSH,CAR,34,19,4,1
NYI,SJS,34,25,6,3
CHI,CBJ,30,23,4,1
CGY,EDM,24,28,2,5
ARI,BOS,24,43,3,5
NYR,NJD,27,24,1,2
WPG,STL,29,41,2,4
ANA,MIN,22,35,4,1
VAN,EDM,34,24,1,2
LAK,COL,40,23,2,1
NYR,SJS,28,22,4,0
NJD,ARI,25,20,3,2
PHI,DAL,35,32,1,2
PIT,FLA,35,33,3,2
CBJ,NYI,37,29,0,4
MTL,STL,36,38,3,0
NSH,TBL,33,29,5,4
CGY,WSH,19,30,2,6
BUF,TOR,35,24,2,1
BOS,PHI,30,37,4,5
EDM,DET,28,29,3,1
COL,CAR,26,19,0,1
NYR,ARI,28,35,4,1
PIT,DAL,34,23,1,4
OTT,NJD,39,32,4,5
NSH,ANA,29,28,5,1
MIN,CBJ,23,29,3,2
CHI,FLA,27,19,3,2
VAN,WSH,25,35,2,3
SJS,LAK,40,29,1,4
BUF,MTL,36,26,2,7
NYI,BOS,26,26,3,5
WPG,TBL,36,31,3,4
CGY,DET,40,29,3,2
EDM,WSH,23,26,4,7
LAK,CAR,28,40,3,0
MIN,ANA,30,15,3,0
BUF,NJD,29,28,3,4
MTL,TOR,27,52,5,3
OTT,ARI,36,26,1,4
PHI,NYR,48,39,3,2
STL,NYI,40,22,2,3
NSH,PIT,39,25,1,2
DAL,FLA,35,30,2,6
CHI,TBL,32,21,1,0
COL,CBJ,34,36,3,4
VAN,DET,32,28,2,3
SJS,CAR,21,34,5,2
WPG,MIN,33,30,5,4
NYR,CGY,26,23,4,1
EDM,LAK,28,34,2,3
NYI,CGY,35,29,4,0
TOR,ARI,27,24,3,4
CHI,ANA,24,39,1,0
BOS,ARI,27,24,6,0
NJD,CBJ,24,14,1,3
PHI,BUF,33,40,3,4
DET,CAR,26,21,1,3
FLA,COL,28,32,4,1
STL,TBL,24,26,2,0
MIN,EDM,28,25,4,3
WPG,LAK,25,32,1,4
DAL,ANA,34,20,4,3
VAN,MTL,28,26,5,1
OTT,CGY,23,38,5,4
WSH,PIT,34,25,1,3
SJS,NSH,21,24,1,2
NYI,CAR,19,29,2,3
PHI,NJD,28,33,1,4
PIT,BUF,29,53,4,3
TBL,COL,35,26,1,2
STL,ANA,34,23,2,1
WPG,CHI,31,46,3,1
DAL,VAN,29,32,4,3
EDM,MTL,27,21,4,3
BUF,PHI,36,28,3,1
NYR,TOR,26,25,3,1
WSH,CBJ,28,30,2,1
CAR,COL,26,32,3,2
DET,OTT,30,35,1,3
FLA,BOS,32,30,1,3
MIN,CHI,30,29,5,4
CGY,MTL,32,31,2,6
ARI,VAN,31,22,3,4
NJD,NYI,17,26,3,2
DAL,SJS,25,29,5,3
LAK,NSH,29,34,4,3
TOR,PIT,21,32,0,4
OTT,DET,36,28,3,5
