home,away,home shots,away shots,home goals,away goals
TOR,MTL,26,36,3,2
WSH,BOS,37,25,7,0
VAN,CGY,23,35,5,2
SJS,ANA,33,15,2,5
BUF,BOS,32,26,0,4
NYR,NSH,36,33,2,3
PIT,WSH,41,36,7,6
CAR,NYI,46,20,1,2
OTT,CHI,25,43,3,4
DET,CBJ,20,39,2,3
STL,WPG,42,25,1,5
DAL,ARI,25,30,3,0
COL,MIN,40,21,4,1
VGK,PHI,25,25,2,5
CBJ,CAR,32,35,1,3
LAK,SJS,21,33,2,3
BUF,NYR,29,44,3,1
TOR,OTT,37,24,3,5
TBL,FLA,29,43,2,1
NJD,EDM,27,19,5,2
NYI,NSH,29,23,3,4
PIT,MTL,22,29,1,5
DAL,WPG,35,33,5,1
STL,CHI,30,30,4,5
MIN,VGK,30,42,1,2
COL,PHI,35,37,5,2
ARI,ANA,41,20,0,1
CGY,VAN,37,20,7,4
CAR,NYR,40,24,8,5
CHI,TOR,31,34,6,7
LAK,DET,25,38,4,2
BOS,OTT,30,31,6,3
NYI,SJS,30,35,4,0
BUF,VGK,17,37,4,2
ANA,DET,27,21,3,2
PHI,SJS,33,48,2,8
CAR,VAN,33,25,5,3
CBJ,COL,35,27,5,2
NSH,CGY,43,27,0,3
WPG,LAK,39,17,2,1
DAL,TOR,34,30,4,7
OTT,PHI,35,45,4,7
WSH,VGK,29,31,5,2
ANA,ARI,25,39,2,3
BOS,EDM,32,26,4,1
BUF,COL,31,30,1,6
FLA,CBJ,41,32,4,5
NJD,WSH,36,21,6,0
NYR,SJS,27,43,3,2
PIT,VGK,22,37,4,2
MTL,LAK,40,29,0,3
DET,TOR,29,35,3,5
TBL,VAN,34,28,1,4
STL,CGY,32,34,5,3
NSH,WPG,30,29,3,0
MIN,CHI,46,30,4,3
NYR,EDM,24,27,1,2
PHI,VGK,26,21,0,1
OTT,LAK,22,37,5,1
MIN,CAR,23,57,4,5
BOS,DET,39,34,8,2
MTL,PIT,40,28,4,3
TBL,CBJ,31,32,8,2
FLA,VAN,26,30,2,3
WSH,TOR,27,28,2,4
NSH,NYI,29,22,5,2
DAL,ANA,51,25,5,3
CHI,STL,50,38,4,3
ARI,BUF,36,23,0,3
COL,CGY,26,41,2,3
NJD,SJS,36,39,3,2
STL,ANA,31,31,2,3
WPG,CAR,26,43,3,1
TOR,LAK,25,34,4,1
MTL,DET,35,28,7,3
OTT,DAL,24,38,4,1
NSH,MIN,28,31,4,2
NJD,DAL,34,24,3,0
NYR,COL,43,33,3,2
PHI,FLA,26,26,6,5
PIT,VAN,28,26,2,3
TBL,CAR,27,40,4,2
MIN,ARI,28,32,2,1
WPG,EDM,33,35,4,5
VGK,BUF,29,27,4,1
MTL,STL,23,25,3,2
WSH,NYR,38,32,4,3
CGY,BOS,29,26,5,2
ANA,NYI,25,35,4,1
TOR,PIT,38,38,0,3
NJD,COL,30,34,3,5
CBJ,PHI,28,35,6,3
TBL,DET,31,30,3,1
WPG,VAN,32,27,4,1
CHI,ARI,34,31,1,4
EDM,BOS,22,29,3,2
LAK,NYI,35,32,2,7
SJS,BUF,39,25,5,1
WSH,FLA,31,30,5,6
DAL,MIN,34,36,1,3
CGY,NSH,27,31,3,5
PHI,NJD,21,21,5,2
CAR,COL,43,22,1,3
WPG,ARI,32,45,5,3
LAK,BUF,20,26,1,5
TOR,STL,23,25,1,4
OTT,MTL,34,27,4,3
FLA,DET,37,31,3,4
CBJ,CHI,38,26,1,4
MIN,TBL,34,31,5,4
EDM,NSH,31,28,0,3
VAN,BOS,22,31,2,1
VGK,ANA,45,18,3,1
SJS,NYI,41,25,4,1
NYR,CGY,45,26,1,4
CHI,TBL,36,55,3,6
ANA,BUF,28,45,2,4
PHI,COL,38,33,1,4
DET,CAR,21,39,1,3
WPG,STL,36,34,5,4
VAN,WSH,24,33,2,5
NYR,FLA,22,38,5,2
CBJ,ARI,36,26,1,4
MTL,CGY,40,23,3,2
OTT,BOS,39,32,1,4
NSH,SJS,29,32,4,5
CHI,ANA,38,25,3,1
DAL,LAK,23,33,4,2
EDM,PIT,46,31,5,6
NYI,FLA,22,41,2,3
WPG,TOR,40,39,2,4
COL,TBL,22,24,0,1
VGK,VAN,35,26,2,3
BOS,PHI,25,26,3,0
BUF,MTL,42,22,4,3
NJD,NSH,36,36,3,4
STL,CBJ,37,32,4,7
MIN,LAK,26,24,4,1
CHI,NYR,37,19,4,1
DAL,ANA,41,25,5,2
CGY,PIT,39,36,1,9
EDM,WSH,32,32,4,1
ARI,VAN,30,28,4,1
VGK,TBL,31,23,2,3
DET,WPG,28,40,1,2
CAR,SJS,41,23,4,3
COL,OTT,37,24,6,3
NJD,FLA,26,37,3,2
PHI,NYI,23,22,1,6
NSH,EDM,27,35,3,5
CGY,WSH,30,27,3,4
BOS,MTL,33,23,0,3
TOR,WPG,31,24,3,2
CBJ,BUF,37,38,5,4
STL,CHI,37,24,7,3
MIN,COL,28,32,3,2
ARI,TBL,30,31,7,1
VAN,PIT,29,35,0,5
LAK,NYR,40,25,4,3
DET,DAL,23,30,4,2
CAR,NYI,39,20,1,2
CHI,EDM,32,26,1,2
VGK,OTT,53,22,4,3
ANA,SJS,30,49,3,4
TOR,CGY,25,34,1,3
VAN,MIN,31,39,5,2
BUF,CGY,29,38,1,2
PIT,NYI,38,25,3,6
CAR,BOS,44,31,2,3
CBJ,DET,37,32,3,5
MTL,DAL,35,22,1,4
TBL,NJD,44,30,8,3
NSH,VGK,28,24,4,1
EDM,MIN,37,28,3,4
ARI,OTT,35,26,5,1
ANA,PHI,25,36,2,3
SJS,NYR,34,37,3,4
VAN,CHI,28,26,4,2
TOR,DAL,32,19,1,2
FLA,WPG,38,36,2,4
NYI,PIT,26,31,3,2
MTL,WSH,44,31,6,4
OTT,BUF,32,48,4,2
DET,NJD,31,28,4,3
TBL,NSH,43,24,1,4
STL,VGK,26,34,5,3
CGY,COL,37,26,6,5
EDM,CHI,29,40,4,0
ANA,NYR,30,24,2,3
LAK,PHI,27,31,2,5
SJS,CBJ,45,27,1,4
WPG,FLA,34,26,2,4
VAN,COL,37,29,7,6
ARI,CAR,25,51,4,3
BUF,OTT,41,29,9,2
MTL,TBL,35,36,1,4
DET,EDM,26,42,3,4
NYI,NJD,33,35,3,0
PIT,TOR,31,33,0,5
WSH,DAL,32,37,3,4
STL,MIN,16,45,1,5
NSH,BOS,40,26,1,0
