home,away,home shots,away shots,home goals,away goals
TOR,OTT,42,26,5,3
STL,WSH,22,34,2,3
EDM,VAN,22,33,3,2
VGK,SJS,35,22,4,1
TBL,FLA,30,37,5,2
NYR,WPG,32,47,6,4
PIT,BUF,29,41,1,3
CAR,MTL,43,36,4,3
NSH,MIN,32,24,5,2
DAL,BOS,29,20,1,2
COL,CGY,32,30,5,3
ANA,ARI,29,33,2,1
NJD,WPG,39,30,4,5
NYI,WSH,26,28,1,2
CBJ,TOR,29,29,1,4
PHI,CHI,38,31,4,3
SJS,VGK,35,29,1,5
BUF,NJD,36,20,7,2
TOR,MTL,37,42,5,6
OTT,NYR,32,30,1,4
FLA,TBL,28,35,4,3
PIT,CBJ,40,30,7,2
WSH,CAR,34,28,2,3
STL,DAL,30,29,3,2
NSH,DET,42,28,3,5
COL,MIN,32,31,4,2
ARI,BOS,35,26,0,1
CGY,VAN,30,34,3,0
EDM,LAK,31,32,6,5
ANA,SJS,33,36,3,1
CAR,TBL,44,13,4,3
DET,DAL,33,22,4,3
NYI,WPG,33,36,4,1
TOR,STL,34,30,2,3
CBJ,BUF,44,18,4,3
FLA,CAR,50,35,3,6
NYI,EDM,27,27,2,5
PIT,WPG,38,22,1,4
WSH,DAL,32,26,3,4
DET,ANA,32,29,1,3
NSH,SJS,25,35,5,2
CGY,LAK,29,40,3,4
VGK,BOS,34,35,3,4
BUF,MTL,39,27,5,4
PHI,NJD,34,25,4,0
VAN,LAK,25,39,8,2
TOR,TBL,28,33,3,7
MTL,DET,35,34,2,4
NJD,EDM,31,22,3,4
PIT,ANA,28,32,2,1
OTT,STL,29,37,4,6
NSH,WSH,38,26,6,5
WPG,MIN,32,40,5,2
CHI,SJS,30,34,4,5
DAL,CGY,36,29,2,3
COL,BOS,36,41,4,2
ARI,VGK,29,38,4,1
BUF,FLA,32,43,3,2
CBJ,ANA,27,23,1,2
CAR,NYI,40,19,5,2
NYR,EDM,21,27,1,4
OTT,TBL,34,21,4,2
LAK,NSH,38,32,7,4
BOS,NJD,32,31,3,0
MTL,STL,38,29,6,3
DET,TOR,27,41,2,5
NYI,FLA,28,37,3,2
CAR,CBJ,32,35,2,3
CHI,WPG,29,33,2,3
DAL,WSH,25,25,1,4
MIN,PIT,33,35,4,7
COL,ARI,32,36,3,2
VAN,PHI,24,32,3,2
VGK,CGY,30,35,6,2
WPG,PIT,29,28,2,7
LAK,VGK,38,36,2,5
SJS,CGY,20,33,3,1
BOS,ANA,23,32,4,2
OTT,MIN,26,35,0,2
