home,away,home shots,away shots,home goals,away goals
TOR,MTL,24,28,3,2
PIT,PHI,31,27,2,3
MIN,CAR,29,31,3,4
COL,CHI,41,38,4,3
EDM,CGY,33,37,4,0
CBJ,SJS,32,28,2,3
NJD,DAL,30,28,3,4
CAR,MIN,37,42,2,1
DET,ANA,43,21,4,0
OTT,BUF,26,36,1,2
ATL,WSH,31,31,4,2
BOS,PHX,42,37,2,5
BUF,NYR,36,28,3,6
TOR,OTT,38,18,5,1
NYI,DAL,47,22,4,5
PIT,MTL,38,27,2,3
WSH,NJD,29,33,7,2
TBL,ATL,36,30,5,3
STL,PHI,25,30,2,1
NSH,ANA,49,37,4,1
CHI,DET,28,26,2,3
SJS,CBJ,35,25,2,3
VAN,LAK,24,32,1,2
PHX,BOS,29,37,0,3
CGY,LAK,32,22,3,1
EDM,FLA,13,28,3,2
NJD,PIT,31,31,1,3
NYI,NYR,32,33,6,4
STL,ANA,53,14,5,1
BUF,CHI,35,30,3,4
PHI,COL,38,27,4,2
WSH,OTT,26,31,3,2
VAN,FLA,35,42,2,1
DET,COL,28,38,4,5
LAK,ATL,35,32,3,1
BUF,NJD,24,35,0,1
WSH,NYI,26,24,2,1
MTL,TBL,27,48,3,4
PIT,TOR,25,14,3,4
CHI,NSH,25,27,2,3
ANA,VAN,32,39,4,3
PHI,TBL,26,24,2,3
OTT,CAR,39,24,3,2
NSH,STL,22,35,4,3
MIN,EDM,24,26,4,2
DAL,DET,15,26,4,1
CGY,FLA,27,18,0,3
NJD,COL,43,22,2,3
NYR,TOR,24,38,3,4
PIT,NYI,29,24,3,2
CBJ,CHI,32,40,2,5
BUF,MTL,23,28,1,2
ANA,ATL,41,33,4,5
LAK,VAN,19,26,4,1
MTL,OTT,40,19,4,3
NJD,BOS,32,35,1,4
NYI,COL,25,30,5,2
PHI,PIT,30,32,1,5
FLA,TBL,38,29,6,0
NSH,WSH,39,34,2,3
MIN,CBJ,23,25,2,3
DAL,STL,25,43,3,2
CHI,BUF,21,41,4,3
PHX,DET,26,33,1,2
CGY,EDM,46,30,5,3
SJS,ATL,39,28,2,4
ANA,PHX,35,38,3,2
VAN,CAR,28,33,5,1
TOR,NYI,30,20,1,2
NYR,COL,32,34,1,3
PIT,OTT,29,34,5,2
TBL,DAL,44,19,5,4
CHI,STL,33,34,3,2
WSH,BOS,36,21,1,3
NSH,CGY,34,35,0,1
MIN,VAN,24,27,6,2
SJS,CAR,43,31,2,5
ATL,BUF,18,42,1,4
CBJ,ANA,22,32,3,1
CHI,VAN,32,37,2,1
LAK,CAR,27,30,4,3
BOS,WSH,34,39,4,1
TOR,NYR,25,32,1,2
PHI,ANA,42,22,2,3
DET,CGY,30,36,4,2
MTL,NJD,29,20,0,3
TBL,NYI,30,25,2,3
FLA,DAL,28,29,1,4
NSH,PIT,24,38,3,4
COL,SJS,31,34,2,4
EDM,MIN,36,25,2,4
PHX,LAK,27,30,4,2
CBJ,CGY,22,23,2,6
BUF,OTT,36,32,2,4
ATL,TBL,30,33,2,5
STL,CHI,28,25,4,2
VAN,MIN,35,24,5,1
BOS,NYR,37,30,2,3
OTT,MTL,19,34,0,3
NJD,BUF,27,29,1,6
PHI,TOR,40,14,5,2
WSH,ATL,44,32,4,3
FLA,NYI,30,33,4,3
DET,ANA,41,25,5,4
STL,PIT,24,31,1,0
DAL,NSH,30,24,0,1
CHI,CBJ,32,40,2,3
COL,LAK,32,30,4,6
PHX,CAR,39,41,3,4
EDM,SJS,22,34,1,6
TBL,NSH,45,26,3,4
NYR,NJD,34,28,3,1
CGY,SJS,30,27,4,0
CBJ,PHI,25,29,2,1
MTL,PHX,29,29,3,2
MIN,LAK,22,34,2,3
TOR,FLA,27,22,3,1
PHI,BUF,34,35,6,3
OTT,PHX,36,30,5,2
CGY,EDM,39,32,5,4
DAL,ANA,37,26,2,5
VAN,COL,31,39,4,3
NYR,ATL,28,26,4,6
CAR,WSH,29,33,0,3
MTL,NYI,35,21,5,3
TBL,PIT,31,31,5,3
CHI,LAK,28,34,3,1
SJS,NJD,39,29,5,2
BOS,TOR,32,20,2,0
DET,PHX,45,36,2,4
CBJ,EDM,41,27,3,2
OTT,FLA,28,31,5,3
NSH,STL,24,34,0,3
MIN,WSH,17,22,2,1
DAL,LAK,32,24,2,5
CGY,COL,19,36,5,6
NYI,MTL,31,26,1,3
NYR,CAR,43,38,3,4
PIT,PHI,28,24,2,3
ATL,BUF,22,28,4,3
CHI,EDM,41,22,4,7
ANA,NJD,28,27,1,2
TOR,NYR,36,24,0,2
MTL,FLA,41,31,1,3
OTT,BOS,29,25,0,4
PHI,NYI,29,31,6,1
CAR,PIT,33,31,0,3
DET,NSH,28,25,5,2
STL,ATL,35,28,4,3
MIN,CHI,26,32,1,3
DAL,BUF,41,34,4,0
COL,CBJ,31,34,5,1
PHX,TBL,23,23,0,3
CGY,WSH,29,28,2,7
LAK,NJD,23,40,3,1
SJS,ANA,41,24,5,2
NYR,CHI,23,35,3,2
PHI,CAR,37,28,3,2
VAN,NJD,23,30,3,0
TOR,OTT,35,24,2,3
CBJ,MTL,24,29,3,0
MIN,SJS,16,36,1,0
EDM,VAN,26,30,3,4
BUF,BOS,35,26,2,5
WSH,TOR,30,28,5,4
CAR,NYI,32,33,7,2
FLA,ATL,55,23,3,4
CHI,NJD,32,24,3,5
DAL,PIT,29,23,5,2
CGY,DET,17,33,1,2
PHX,NSH,28,31,4,3
ANA,TBL,30,34,3,2
PHI,NYR,21,21,4,1
ATL,CBJ,25,42,0,3
OTT,NYI,27,29,4,1
STL,SJS,29,25,2,0
COL,VAN,34,36,1,3
LAK,TBL,26,24,1,0
NJD,NYR,33,20,0,3
WSH,BOS,39,18,5,3
BUF,MTL,31,32,2,3
FLA,CAR,50,31,7,4
MIN,CGY,23,34,2,1
DAL,PHX,31,28,6,3
EDM,DET,30,30,1,3
ANA,PIT,19,32,3,2
LAK,NSH,31,26,4,1
BOS,STL,34,35,1,2
TOR,BUF,25,31,2,3
MTL,OTT,23,31,2,3
NYI,PHI,32,26,1,2
CAR,FLA,29,20,3,2
ATL,CHI,37,40,4,5
CBJ,MIN,37,24,2,3
COL,DAL,45,31,5,0
PHX,PIT,28,36,3,4
VAN,DET,34,28,6,4
SJS,TBL,39,35,5,2
WSH,PHI,39,25,3,2
NYR,STL,27,22,0,2
CHI,EDM,27,26,1,2
ANA,NSH,37,24,5,4
DET,PHX,40,31,3,2
NYR,WSH,28,24,3,5
CAR,EDM,42,22,7,1
MTL,VAN,29,34,2,0
OTT,ATL,29,37,5,2
TBL,TOR,25,28,4,0
COL,CGY,31,25,2,4
SJS,ANA,41,20,2,3
NJD,BUF,32,42,4,5
PIT,BOS,46,33,4,7
CBJ,STL,35,30,8,1
FLA,TOR,28,33,4,1
CHI,PHX,36,22,1,2
ANA,NYI,14,27,1,0
BOS,MTL,35,41,1,3
NYR,BUF,28,31,3,2
WSH,TBL,26,41,6,3
CAR,PHI,36,26,1,8
ATL,MIN,34,33,5,1
DET,EDM,34,25,6,2
OTT,VAN,35,33,2,6
STL,NSH,23,26,2,3
LAK,DAL,29,28,3,1
SJS,NYI,38,25,2,1
NJD,EDM,39,24,4,3
PIT,TBL,20,16,5,1
CBJ,COL,29,29,1,5
FLA,MIN,27,23,2,1
PHX,CGY,26,35,5,4
ANA,DAL,37,29,4,2
BOS,OTT,31,33,0,2
BUF,WSH,27,25,3,2
TOR,VAN,32,32,3,5
MTL,CAR,33,30,7,2
PHI,FLA,42,36,5,2
ATL,PIT,33,28,2,4
DET,COL,25,22,3,1
NSH,CHI,33,32,4,3
PHX,STL,27,38,5,3
SJS,CGY,35,31,4,3
LAK,NYI,34,19,5,1
NYR,EDM,31,21,8,2
WSH,ATL,33,27,6,4
TBL,MIN,38,18,1,4
CHI,ANA,43,26,3,2
BOS,NJD,24,28,3,0
BUF,VAN,39,39,4,3
PHI,OTT,46,29,5,1
PIT,NYR,39,25,2,3
COL,STL,23,30,6,3
SJS,LAK,34,35,6,3
TOR,NSH,33,34,5,4
MTL,PHI,28,41,3,0
DAL,ANA,26,27,2,1
NYI,TBL,36,40,2,4
NYR,BOS,36,20,2,3
PIT,VAN,29,30,3,1
WSH,BUF,29,33,4,2
CAR,OTT,28,24,7,1
ATL,FLA,39,34,1,2
DET,STL,31,36,7,3
MIN,ANA,27,28,2,1
COL,SJS,22,43,4,3
CGY,PHX,40,31,1,3
EDM,CHI,18,47,0,5
LAK,CBJ,36,26,3,5
BOS,FLA,40,41,4,0
TOR,NJD,27,30,3,1
PHI,TBL,32,33,7,8
MTL,NSH,30,30,0,3
DAL,SJS,41,39,5,4
PIT,CAR,36,34,5,4
DET,MIN,44,27,3,4
BUF,LAK,26,36,4,2
ATL,WSH,36,29,5,0
STL,OTT,33,20,5,2
COL,NYR,26,26,5,1
CGY,CHI,36,33,7,2
EDM,PHX,30,42,3,4
ANA,CBJ,50,29,3,4
BOS,LAK,41,26,3,4
BUF,TBL,30,22,1,2
MTL,TOR,39,30,2,0
NYI,FLA,40,31,1,4
