home,away,home shots,away shots,home goals,away goals
WPG,TOR,37,31,2,7
PIT,STL,33,34,4,5
EDM,CGY,45,27,3,0
SJS,PHI,35,31,3,5
BOS,NSH,32,29,4,3
BUF,MTL,45,40,2,3
NYR,COL,39,26,2,4
OTT,WSH,32,28,4,5
DET,MIN,31,39,4,2
CHI,PIT,44,29,10,1
ANA,ARI,41,30,5,4
LAK,PHI,27,35,2,0
CBJ,NYI,37,29,5,0
TBL,FLA,25,36,5,3
DAL,VGK,46,30,1,2
TOR,NYR,42,35,8,5
OTT,DET,38,30,1,2
FLA,TBL,48,30,5,4
NJD,COL,39,41,4,1
NYI,BUF,33,29,6,3
PIT,NSH,34,26,4,0
WSH,MTL,23,39,6,1
CAR,MIN,42,27,5,4
STL,DAL,21,40,4,2
CHI,CBJ,29,33,5,1
ARI,VGK,28,42,1,2
CGY,WPG,45,28,6,3
VAN,EDM,26,35,3,2
ANA,PHI,23,37,2,3
SJS,LAK,25,39,1,4
NYR,MTL,25,34,2,0
BOS,COL,29,23,0,4
NYI,STL,42,35,2,3
BUF,NJD,25,31,2,6
TOR,CHI,43,21,4,3
TBL,WSH,40,26,4,3
EDM,WPG,39,43,2,5
ANA,CGY,43,29,0,2
NYR,STL,33,23,1,3
CAR,CBJ,38,27,1,2
MTL,CHI,42,25,1,3
NSH,PHI,31,30,6,5
DAL,DET,33,25,4,2
VAN,OTT,28,42,2,3
VGK,ARI,28,33,5,2
TOR,NJD,50,31,3,6
WSH,PIT,22,36,2,3
COL,BOS,37,23,6,3
ANA,NYI,30,41,3,2
LAK,CGY,45,37,3,4
TBL,PIT,34,40,5,4
FLA,STL,38,39,5,2
NSH,DAL,31,31,4,1
CHI,MIN,38,34,2,5
VAN,WPG,32,20,2,4
ARI,DET,35,33,2,4
SJS,BUF,26,25,3,2
NJD,WSH,23,28,2,5
CBJ,NYR,43,38,3,1
COL,ANA,39,18,3,1
CGY,OTT,25,28,0,6
VGK,DET,27,27,3,6
MTL,TOR,34,22,3,4
TBL,STL,27,29,2,1
NYR,NJD,31,19,2,3
PHI,WSH,37,23,8,2
PIT,FLA,33,46,4,3
WPG,CAR,21,29,2,1
DAL,COL,36,23,3,1
MIN,CBJ,21,35,4,5
CHI,NSH,35,38,2,1
ARI,BOS,31,29,2,6
EDM,OTT,36,31,1,6
VAN,CGY,29,27,2,5
LAK,BUF,30,25,4,2
SJS,NYI,41,23,1,3
VGK,BOS,26,22,3,1
ANA,BUF,26,31,1,3
LAK,NYI,27,25,3,2
DET,TBL,31,26,2,3
NJD,TBL,34,37,5,4
NYR,PIT,32,33,4,5
PHI,FLA,39,41,5,1
WSH,TOR,30,30,0,2
OTT,VAN,32,24,0,3
NSH,COL,34,21,4,1
WPG,CBJ,26,39,2,5
DAL,ARI,34,28,3,1
EDM,CAR,51,21,3,5
VGK,BUF,31,34,5,4
SJS,MTL,35,30,5,2
TOR,DET,26,33,6,3
STL,CHI,33,24,5,2
LAK,MTL,42,37,5,1
BOS,VAN,35,29,6,3
NYR,NYI,41,38,3,4
PHI,NSH,28,24,0,1
CBJ,TBL,43,21,0,2
OTT,NJD,33,46,4,5
CHI,EDM,31,42,1,2
COL,STL,41,28,3,4
CGY,CAR,26,33,1,2
ARI,DAL,31,31,4,5
BUF,VAN,22,41,2,4
NJD,SJS,28,33,0,3
DET,WSH,37,41,3,4
FLA,PIT,31,48,3,4
WPG,MIN,30,27,4,3
ANA,MTL,45,51,6,2
NYR,NSH,15,25,4,2
PHI,EDM,24,24,2,1
BOS,BUF,31,42,4,5
OTT,TOR,35,31,6,3
TBL,PIT,32,29,7,1
NYI,SJS,23,31,5,3
WSH,FLA,42,23,1,4
CBJ,LAK,36,32,4,6
DAL,CAR,26,39,4,3
ARI,CHI,29,29,2,4
CGY,MIN,37,32,2,4
VGK,STL,22,49,3,2
DET,VAN,21,37,1,4
TOR,LAK,34,38,3,2
NYR,SJS,34,24,1,4
BUF,DET,32,32,1,0
NYI,ARI,25,35,5,3
PHI,ANA,33,25,2,6
PIT,EDM,44,30,2,1
CAR,TBL,32,29,1,5
MTL,FLA,37,27,5,1
OTT,LAK,30,43,2,3
NSH,CGY,30,32,2,3
MIN,VAN,29,25,0,1
COL,DAL,33,37,5,3
VGK,CHI,33,31,4,2
CBJ,BUF,38,35,5,1
STL,CGY,29,25,5,2
BOS,SJS,33,37,2,1
TOR,CAR,34,38,3,6
NYR,ARI,30,29,5,2
PIT,WPG,36,31,2,1
MTL,LAK,40,28,0,4
OTT,PHI,28,40,5,4
TBL,DET,38,31,3,2
FLA,ANA,22,34,8,3
MIN,NYI,33,33,6,4
EDM,DAL,35,32,5,4
VAN,WSH,30,27,6,2
VGK,COL,21,32,7,0
NJD,OTT,25,27,5,4
CBJ,WPG,37,30,2,1
CAR,STL,27,34,1,2
CHI,NSH,44,30,1,2
CGY,DAL,30,24,1,2
BUF,SJS,33,31,2,3
BOS,LAK,30,30,1,2
TOR,PHI,30,30,2,4
MTL,NYR,43,26,5,4
TBL,ANA,32,21,1,4
FLA,DET,46,38,2,3
NJD,ARI,25,37,4,3
STL,CBJ,42,37,4,1
NSH,NYI,30,23,2,6
MIN,PIT,29,30,2,1
COL,CHI,28,42,6,3
EDM,WSH,40,31,2,5
CAR,ANA,37,25,3,4
WPG,PIT,24,32,7,1
CGY,WSH,38,31,2,1
NYI,VGK,30,34,6,3
PHI,ARI,31,34,3,4
CBJ,BOS,32,30,4,3
OTT,MTL,28,29,3,8
FLA,TBL,23,38,5,8
STL,LAK,30,28,4,2
VAN,DAL,39,29,1,2
SJS,TOR,39,18,3,2
NYR,VGK,38,34,6,4
DET,ARI,40,33,5,3
MIN,WPG,29,19,1,2
CHI,PHI,35,35,3,0
EDM,PIT,37,30,2,3
VAN,NJD,37,26,0,2
ANA,TOR,29,29,1,3
SJS,NSH,23,20,4,1
BOS,VGK,28,29,2,1
WSH,NYI,19,38,4,3
OTT,DET,30,25,3,1
TBL,NYR,28,35,1,2
FLA,CBJ,34,40,3,7
STL,PHI,33,23,0,2
MIN,MTL,27,31,6,3
WPG,DAL,27,23,5,2
COL,CAR,27,60,5,3
CGY,PIT,34,44,2,1
ARI,BUF,29,31,4,5
LAK,TOR,28,36,5,3
EDM,NJD,42,34,6,3
ANA,NSH,38,30,3,5
OTT,VGK,28,34,4,5
BOS,WSH,33,27,2,3
TBL,CBJ,36,34,5,4
FLA,NYR,34,44,4,5
PHI,COL,37,27,4,5
STL,TOR,32,31,6,4
WPG,MTL,23,50,4,5
DAL,BUF,22,28,5,1
MIN,CHI,24,35,0,2
ARI,CAR,24,37,2,1
VAN,PIT,21,39,4,2
LAK,NSH,39,31,3,4
SJS,ANA,45,26,2,1
EDM,DET,36,35,0,4
NYI,COL,28,35,6,4
CHI,MTL,38,35,0,2
CGY,NJD,34,30,5,4
BOS,MIN,34,27,5,3
TOR,VGK,25,28,4,3
NYR,CBJ,26,25,5,3
WSH,ARI,40,26,3,2
DAL,WPG,34,26,1,4
VAN,DET,28,30,2,3
BUF,WSH,32,25,3,1
NJD,STL,22,40,1,3
NYI,EDM,37,25,1,2
PIT,ARI,37,25,3,1
CAR,FLA,48,31,3,1
CBJ,NSH,36,29,1,3
MTL,VGK,28,31,3,2
CGY,VAN,32,21,3,5
ANA,LAK,36,43,3,4
TOR,MIN,19,37,4,2
NYR,BOS,33,33,4,2
SJS,TBL,33,30,1,5
NJD,EDM,34,32,2,3
PHI,CHI,31,39,3,1
MTL,MIN,41,35,0,3
STL,ARI,38,29,3,2
CGY,DET,34,42,6,3
ANA,VAN,35,20,4,1
LAK,TBL,24,43,2,5
BUF,FLA,25,31,1,4
TOR,BOS,33,35,3,2
WSH,PIT,31,28,4,1
CBJ,CAR,26,29,1,3
DAL,NYI,29,14,5,0
COL,OTT,19,32,3,4
VGK,WPG,27,29,5,2
NYR,EDM,34,29,4,2
BOS,TOR,39,25,1,4
MTL,BUF,29,35,2,1
OTT,COL,40,18,4,3
DET,CBJ,33,32,1,2
NJD,FLA,21,33,2,1
PHI,MIN,32,27,0,1
CAR,CHI,38,30,3,4
STL,NYI,37,29,2,5
NSH,PIT,28,30,5,4
ARI,WPG,30,21,1,4
SJS,VAN,31,41,5,0
WSH,EDM,19,30,2,1
CHI,NJD,44,38,5,7
ANA,TBL,29,37,1,2
LAK,SJS,27,33,1,2
CAR,DAL,28,26,5,1
CGY,STL,37,24,7,4
PIT,BUF,45,32,5,4
MTL,CBJ,29,25,1,2
FLA,DAL,29,43,4,3
