home,away,home shots,away shots,home goals,away goals
MTL,TOR,37,38,3,4
CHI,WSH,35,32,6,4
EDM,WPG,38,28,4,5
PHI,TOR,32,25,1,3
DET,BUF,34,20,2,1
COL,ANA,29,36,6,1
BOS,TBL,25,33,3,1
PIT,NJD,21,27,3,0
WSH,CGY,39,39,5,4
STL,NSH,28,30,4,2
MIN,LAK,29,18,2,3
DAL,FLA,27,39,2,4
PHX,NYR,32,24,4,1
SJS,VAN,35,22,4,1
BUF,OTT,35,46,0,1
NJD,NYI,29,26,3,4
CAR,DET,25,38,2,3
CBJ,CGY,32,30,3,4
WPG,LAK,33,36,5,3
COL,NSH,36,27,3,1
BOS,DET,37,26,4,1
TOR,OTT,42,36,5,4
MTL,PHI,34,23,4,1
NYI,CBJ,30,29,2,3
PIT,BUF,35,21,4,1
CHI,TBL,39,16,2,3
STL,FLA,34,19,7,0
DAL,WSH,21,26,2,1
MIN,ANA,33,30,3,4
VAN,EDM,44,23,6,2
SJS,PHX,51,23,4,1
CAR,PHI,34,18,2,1
WPG,ANA,17,34,2,3
CGY,VAN,36,28,4,5
EDM,NJD,27,25,5,4
LAK,NYR,29,28,1,3
TOR,COL,28,33,1,2
NYI,PHX,28,34,6,1
PHI,FLA,30,34,2,1
PIT,CAR,37,34,5,2
BUF,TBL,23,34,2,3
NSH,MIN,25,34,3,2
VAN,NJD,32,23,3,2
SJS,NYR,47,20,9,2
STL,CHI,34,28,3,2
CGY,MTL,25,35,3,2
LAK,OTT,32,25,4,3
BOS,COL,39,30,0,2
BUF,CBJ,27,33,1,4
WSH,CAR,32,36,2,3
DET,PHX,30,38,2,4
TBL,FLA,28,21,7,2
NSH,TOR,36,26,0,4
MIN,WPG,30,15,2,1
EDM,MTL,28,27,1,4
VAN,SJS,26,29,1,4
ANA,NYR,37,34,6,0
PHI,PHX,37,31,1,2
CAR,LAK,28,37,1,2
FLA,PIT,30,39,6,3
CHI,NYI,28,19,3,2
WPG,DAL,44,31,1,4
CGY,NJD,29,21,3,2
TOR,EDM,26,31,6,5
DET,PHI,30,34,5,2
TBL,PIT,18,26,4,5
WSH,COL,41,28,1,5
CBJ,BOS,27,36,1,3
CHI,BUF,40,29,2,1
STL,NYR,34,29,5,3
NSH,NYI,31,16,3,2
MIN,DAL,36,19,5,1
VAN,MTL,40,39,1,4
SJS,OTT,50,23,3,2
CAR,PHX,34,32,3,5
FLA,LAK,20,29,0,3
WPG,NJD,35,24,3,0
ANA,OTT,56,31,4,1
BOS,DET,30,27,2,3
WSH,EDM,20,30,4,2
BUF,MIN,23,20,1,2
TOR,MIN,14,37,4,1
NYI,BUF,44,34,3,4
PHI,VAN,22,25,2,3
PIT,EDM,28,22,3,2
CAR,CHI,34,36,2,3
DET,CBJ,32,37,2,1
TBL,LAK,25,31,5,1
STL,SJS,27,39,2,6
NSH,FLA,30,25,4,3
WPG,MTL,36,25,0,3
COL,DAL,26,41,3,2
PHX,OTT,37,32,3,4
WSH,NYR,22,36,0,2
ANA,CGY,22,35,3,2
BUF,VAN,25,34,0,3
TOR,CAR,26,38,2,3
