home,away,home shots,away shots,home goals,away goals
PHI,PIT,27,34,6,3
TBL,CHI,33,23,5,1
TOR,MTL,34,32,5,4
EDM,VAN,31,35,3,5
COL,STL,27,32,1,4
BUF,WSH,26,28,4,6
NJD,BOS,22,37,2,3
NYR,NYI,24,33,0,4
FLA,DAL,52,25,3,1
DET,CAR,14,43,0,3
NSH,CBJ,35,30,3,1
WPG,CGY,34,26,4,3
EDM,VAN,46,40,5,2
ARI,SJS,37,35,3,4
VGK,ANA,29,22,5,2
LAK,MIN,34,27,3,4
BUF,WSH,31,21,1,2
PHI,PIT,20,33,5,2
TBL,CHI,37,37,5,2
FLA,DAL,43,29,5,4
OTT,TOR,24,23,5,3
COL,STL,38,21,8,0
NJD,BOS,31,28,2,1
NYR,NYI,32,23,5,0
DET,CAR,21,31,4,2
NSH,CBJ,33,44,5,2
OTT,TOR,19,40,2,3
CGY,VAN,35,32,3,0
EDM,MTL,35,36,1,5
ARI,SJS,26,34,5,3
VGK,ANA,33,22,2,1
LAK,MIN,33,44,3,4
TBL,DAL,20,22,6,2
FLA,CHI,36,30,5,2
PIT,WSH,27,23,4,3
NYI,BOS,17,27,1,0
PHI,BUF,22,37,1,6
DET,CBJ,37,29,2,3
STL,SJS,33,26,5,4
NSH,CAR,33,24,2,4
TOR,WPG,38,28,3,1
CGY,VAN,32,27,5,2
EDM,MTL,26,34,1,3
VGK,ARI,28,32,4,2
ANA,MIN,27,34,1,0
NYR,NJD,50,28,3,4
PHI,BUF,30,40,3,0
TBL,DAL,27,31,2,5
FLA,CHI,30,36,5,4
PIT,WSH,30,26,5,4
DET,CBJ,27,24,3,2
NSH,CAR,38,28,2,4
OTT,WPG,41,28,3,4
LAK,COL,25,24,2,3
STL,SJS,23,38,1,2
TOR,EDM,26,22,1,3
VAN,MTL,28,36,6,5
VGK,ARI,29,23,5,2
ANA,MIN,24,32,2,3
BOS,PHI,43,26,5,4
NYI,NJD,35,31,4,1
CAR,FLA,35,37,3,4
CBJ,TBL,25,37,2,3
OTT,WPG,29,29,1,4
VAN,MTL,17,42,3,7
LAK,COL,27,26,4,2
WSH,BUF,32,27,4,3
PIT,NYR,28,34,4,3
CHI,DET,28,31,4,1
TOR,EDM,29,32,4,2
MIN,SJS,29,29,4,1
DAL,NSH,28,34,7,0
ARI,VGK,26,31,5,2
ANA,COL,38,32,2,3
BOS,PHI,26,17,6,1
CAR,FLA,26,23,4,2
CBJ,TBL,28,32,5,2
STL,LAK,30,23,4,2
WPG,OTT,38,21,6,3
VAN,MTL,25,33,2,5
NJD,NYI,24,28,2,0
WSH,BUF,31,48,3,4
PIT,NYR,19,26,3,2
CHI,DET,35,27,6,2
STL,LAK,31,35,3,6
WPG,EDM,38,38,3,4
CGY,TOR,33,32,2,3
MIN,SJS,29,36,3,5
DAL,NSH,22,17,3,2
ARI,VGK,16,27,0,1
ANA,COL,15,33,3,1
VAN,OTT,35,36,7,1
BOS,PIT,36,30,3,2
BUF,NYR,24,30,3,2
NJD,PHI,26,31,3,5
WSH,NYI,37,34,3,2
CAR,TBL,36,32,2,4
CBJ,FLA,22,31,3,4
NSH,CHI,39,20,3,2
WPG,EDM,33,26,6,4
CGY,TOR,26,21,3,4
MIN,LAK,33,21,1,2
DAL,DET,22,21,2,1
COL,SJS,42,30,7,3
ARI,ANA,31,24,0,1
VGK,STL,46,25,4,5
NSH,CHI,42,30,2,1
VAN,OTT,35,43,5,1
BOS,PIT,20,17,4,1
BUF,NYR,25,39,2,3
NJD,PHI,34,17,1,3
WSH,NYI,23,30,6,3
CAR,TBL,35,32,1,0
CBJ,FLA,31,35,3,2
MTL,CGY,21,25,4,2
EDM,TOR,29,27,3,4
VAN,OTT,25,37,4,1
MIN,LAK,28,35,5,3
DAL,DET,29,23,7,3
COL,SJS,38,21,3,0
ARI,ANA,34,16,3,2
VGK,STL,35,16,5,1
CHI,CBJ,32,27,1,2
BUF,NJD,31,34,4,3
NYR,PIT,34,38,4,5
PHI,NYI,17,28,3,2
WSH,BOS,23,43,4,3
CAR,DAL,26,11,4,1
TBL,NSH,33,26,4,3
DET,FLA,27,26,2,3
MTL,CGY,37,33,0,2
WPG,VAN,24,39,1,4
EDM,TOR,31,29,4,3
MIN,COL,20,33,1,5
ANA,STL,24,30,1,6
BUF,NJD,33,37,3,5
PHI,NYI,29,36,4,3
CAR,DAL,40,29,4,3
DET,FLA,34,30,2,3
CHI,CBJ,36,33,3,1
EDM,OTT,31,38,8,5
MIN,COL,33,25,4,3
ANA,STL,26,23,1,4
NYR,PIT,24,26,3,1
WSH,BOS,26,33,3,5
TBL,NSH,28,31,5,2
MTL,VAN,40,29,6,2
WPG,CGY,28,28,3,4
SJS,VGK,25,26,1,3
NYI,BUF,23,36,3,2
PIT,NJD,36,35,1,2
CBJ,DAL,26,33,3,6
CHI,CAR,33,41,3,4
STL,ARI,29,35,4,3
MTL,VAN,33,39,5,3
WPG,CGY,28,31,3,2
EDM,OTT,25,25,4,2
COL,MIN,31,28,2,1
PHI,BOS,25,35,3,4
TBL,DET,27,16,5,1
LAK,ANA,21,43,1,3
SJS,VGK,19,44,0,6
NYI,BUF,45,18,5,2
NYR,WSH,31,33,4,2
FLA,NSH,36,41,5,6
PIT,NJD,32,30,7,6
CBJ,DAL,25,28,4,3
CHI,CAR,35,34,6,4
STL,ARI,43,30,3,4
MTL,OTT,38,22,2,3
TOR,VAN,37,19,7,3
WPG,CGY,27,24,4,1
COL,MIN,32,25,2,6
PHI,BOS,24,23,1,2
TBL,DET,32,28,3,1
FLA,NSH,36,25,2,1
VGK,LAK,36,29,5,2
ANA,SJS,37,30,4,5
BOS,BUF,36,27,3,2
NJD,NYR,36,19,1,6
NYI,PIT,26,31,4,3
STL,COL,34,28,3,4
OTT,MTL,35,32,1,2
TOR,VAN,31,28,5,1
CGY,EDM,28,32,6,4
MIN,ARI,26,31,3,0
ANA,SJS,33,27,2,1
WSH,PHI,37,23,4,7
FLA,DET,37,39,1,4
CBJ,CAR,22,26,5,6
STL,COL,20,32,4,1
MIN,ARI,22,30,5,2
DAL,CHI,31,35,1,2
VGK,LAK,33,32,4,3
BOS,BUF,34,23,3,2
NYR,NYI,30,30,0,2
CBJ,CAR,22,24,3,2
NSH,TBL,24,35,1,4
OTT,EDM,28,35,1,3
TOR,VAN,19,32,3,1
NJD,PIT,35,42,3,2
WSH,PHI,32,30,6,1
FLA,DET,22,32,2,1
NSH,TBL,33,30,1,6
OTT,EDM,42,22,2,3
CGY,WPG,29,27,3,2
MIN,STL,38,31,4,3
DAL,CHI,35,29,1,2
COL,ARI,38,31,9,3
VGK,ANA,31,23,5,4
LAK,SJS,27,40,3,4
NYR,BOS,35,32,2,3
MTL,TOR,35,24,2,4
BUF,WSH,23,30,0,6
NYI,PIT,29,35,3,4
PHI,NJD,36,32,4,3
FLA,TBL,29,21,5,2
CHI,CBJ,26,43,5,6
NSH,DET,23,26,3,2
MTL,EDM,38,31,0,3
WPG,OTT,26,42,5,1
VAN,CGY,34,26,1,3
MIN,STL,11,37,2,0
DAL,CAR,37,32,3,5
COL,ARI,20,37,4,2
VGK,ANA,21,28,0,1
LAK,SJS,31,31,6,2
NYR,BOS,21,30,0,1
BUF,WSH,33,33,3,4
NYI,BOS,42,30,4,2
PHI,NJD,31,25,4,2
FLA,TBL,34,28,1,6
CHI,CBJ,31,31,3,2
NSH,DET,23,30,2,4
TOR,MTL,22,25,1,2
WPG,OTT,31,29,1,2
VAN,CGY,46,19,3,1
DAL,CAR,29,21,3,4
ARI,STL,36,35,4,5
LAK,MIN,42,24,2,4
SJS,ANA,35,34,1,5
PIT,WSH,38,31,6,3
VGK,COL,24,30,1,0
BOS,NJD,40,25,0,1
BUF,NYI,21,29,1,3
DET,CHI,29,24,2,3
TOR,OTT,38,31,5,6
EDM,WPG,45,24,5,6
VAN,CGY,33,27,3,4
DAL,NSH,38,20,3,4
ARI,STL,19,24,1,0
SJS,ANA,29,28,3,2
BUF,NYI,20,24,0,3
NYR,PHI,35,36,2,3
CAR,CBJ,34,40,7,3
TBL,FLA,31,21,4,6
PIT,WSH,27,42,1,3
DAL,NSH,30,22,3,4
VGK,COL,29,25,2,3
LAK,MIN,29,28,4,0
DET,CHI,29,26,0,2
TOR,OTT,28,28,2,1
CGY,VAN,36,33,1,5
EDM,WPG,30,35,3,2
BOS,NJD,27,26,2,3
PHI,NYR,22,33,2,3
PIT,NYI,37,32,4,1
CBJ,NSH,22,32,3,0
STL,SJS,45,32,3,2
TOR,OTT,31,37,7,3
DAL,TBL,28,19,0,2
ARI,LAK,22,29,2,3
ANA,MIN,17,27,1,3
CAR,CHI,38,29,5,3
DET,FLA,32,39,2,7
CGY,EDM,21,25,1,2
