home,away,home shots,away shots,home goals,away goals
PHI,PIT,27,27,1,3
WPG,OTT,28,37,1,4
LAK,CHI,21,22,2,5
BOS,NYR,34,21,3,1
MTL,TOR,22,26,1,2
NYI,NJD,19,28,1,2
TBL,WSH,34,30,6,3
FLA,CAR,25,42,5,1
STL,DET,36,14,6,0
NSH,CBJ,34,28,2,3
DAL,PHX,26,40,4,3
MIN,COL,35,27,4,2
VAN,ANA,29,26,3,7
BUF,PHI,41,29,5,2
NYR,PIT,34,39,3,6
CGY,SJS,32,29,1,4
MIN,DAL,32,24,1,0
VAN,EDM,29,32,2,3
PHX,CHI,29,31,4,6
BOS,WPG,27,27,2,1
NYI,TBL,44,26,4,3
NSH,STL,24,39,3,4
TOR,BUF,35,20,1,2
OTT,FLA,37,31,4,0
CBJ,DET,33,42,3,4
CGY,ANA,25,24,4,5
WSH,WPG,34,39,2,4
CAR,TBL,36,26,1,4
MTL,FLA,33,28,4,1
NJD,PHI,26,24,3,0
DET,DAL,40,32,1,2
MIN,NSH,30,26,1,3
CHI,STL,27,34,3,2
COL,LAK,31,29,3,1
EDM,SJS,29,31,3,6
PIT,TOR,30,24,2,5
NYR,BOS,33,29,4,3
VAN,CGY,36,36,3,2
PHX,CBJ,42,26,5,1
TOR,NYI,43,34,4,7
PHI,NYR,33,19,2,1
WSH,MTL,31,22,1,4
CAR,BUF,38,33,6,3
FLA,OTT,26,37,1,3
STL,NSH,24,13,3,0
DAL,CHI,23,41,2,3
COL,CBJ,28,33,4,0
EDM,LAK,39,31,2,1
SJS,PHX,35,35,5,3
BOS,NYI,27,26,4,2
BUF,CAR,41,42,1,3
NJD,WSH,35,28,3,2
TBL,OTT,31,36,6,4
DET,MIN,27,26,5,3
WPG,PIT,32,35,4,2
ANA,VAN,30,34,0,5
SJS,COL,43,24,4,0
NYR,TOR,42,17,5,2
CBJ,CHI,26,24,2,3
FLA,PHI,31,26,1,7
DAL,STL,23,32,3,4
PHX,LAK,33,31,2,4
CGY,EDM,35,20,4,3
ANA,NSH,22,21,3,2
WSH,BUF,30,24,3,2
OTT,PIT,32,34,1,2
MTL,NJD,32,25,4,3
TBL,PHI,26,25,5,1
CHI,DET,27,30,2,1
WPG,NYI,35,25,5,4
STL,MIN,34,16,5,4
SJS,VAN,27,24,4,1
CAR,BOS,32,38,3,5
CBJ,DAL,27,25,2,1
PHX,NSH,25,21,4,0
EDM,COL,27,38,4,1
LAK,VAN,28,23,3,2
BOS,NJD,28,26,2,1
BUF,TOR,32,24,3,4
NYR,PHI,28,27,2,1
MTL,WPG,26,21,4,3
OTT,WSH,27,33,3,2
PIT,NYI,38,24,1,4
TBL,FLA,33,28,5,2
DET,DAL,27,26,4,1
MIN,CBJ,26,19,3,2
SJS,ANA,18,30,3,2
OTT,MTL,27,32,5,1
MIN,CHI,25,32,3,2
PHX,EDM,28,21,1,2
VAN,COL,23,24,3,0
BOS,BUF,42,32,4,7
TOR,WSH,40,22,3,2
NJD,NYI,32,35,4,5
NYR,PIT,28,29,0,3
CBJ,STL,25,25,1,4
FLA,WPG,34,25,6,3
CGY,COL,28,22,3,6
LAK,NSH,24,14,1,2
SJS,EDM,38,28,3,2
WSH,PHI,26,31,3,2
CAR,OTT,35,33,1,0
TBL,WPG,25,29,8,3
DET,STL,31,26,5,3
DAL,PHX,24,34,4,3
VAN,CHI,22,28,2,1
ANA,MIN,31,27,3,1
PIT,NJD,30,16,5,1
MTL,BUF,32,31,6,1
COL,EDM,40,26,3,1
TOR,BOS,21,34,0,1
PHI,CAR,24,42,5,3
TBL,NYR,32,30,2,3
CBJ,DET,28,34,4,2
PHX,DAL,34,17,2,0
CGY,CHI,47,19,2,3
ANA,LAK,25,34,7,4
SJS,NSH,27,24,1,2
WSH,PIT,24,26,3,6
MTL,OTT,32,33,2,1
BUF,FLA,20,33,3,4
NYI,NJD,22,27,0,3
TOR,CAR,42,39,1,4
COL,DAL,31,26,2,3
PHX,MIN,34,22,2,1
EDM,VAN,25,40,2,3
ANA,SJS,32,26,2,1
NJD,NYR,22,25,3,1
NYI,PIT,34,26,2,4
WSH,TOR,26,21,2,3
CBJ,LAK,20,31,2,4
OTT,BUF,24,23,4,3
PHI,TBL,24,22,2,1
DET,CGY,26,23,1,4
WPG,FLA,21,19,3,2
STL,NSH,32,19,1,6
SJS,CHI,33,31,3,5
MTL,BOS,21,23,1,2
COL,ANA,31,20,0,3
EDM,DAL,29,28,2,3
BUF,MTL,40,32,5,4
NJD,TBL,27,19,4,2
NYR,NYI,25,28,4,1
PHI,FLA,32,24,2,3
PIT,WSH,28,25,5,2
CBJ,CGY,29,30,3,4
OTT,CAR,47,26,2,3
WPG,TOR,25,18,2,3
STL,DET,27,29,1,5
NSH,LAK,14,32,3,0
MIN,VAN,23,22,1,4
PHX,CHI,24,33,2,6
DAL,ANA,28,21,3,1
BOS,TBL,24,30,2,0
NJD,PIT,28,25,3,1
PHI,CAR,32,33,4,3
OTT,WPG,33,37,0,1
DET,EDM,30,24,2,1
SJS,PHX,33,21,0,1
MTL,TOR,37,28,0,6
NYI,BUF,43,15,2,3
WSH,FLA,25,27,5,0
STL,ANA,31,23,5,6
MIN,NSH,32,26,2,1
VAN,CGY,31,34,5,1
DET,LAK,31,47,3,2
CBJ,EDM,40,14,1,3
BUF,BOS,26,39,1,3
NYR,TBL,32,20,5,1
PIT,NJD,24,23,1,3
NSH,CHI,17,27,0,3
TOR,PHI,24,46,5,2
NYI,CAR,28,31,4,6
CBJ,SJS,36,27,6,2
STL,LAK,22,23,1,4
COL,PHX,43,30,2,3
CGY,MIN,24,24,1,2
NJD,CAR,28,25,2,4
BOS,NYR,40,29,3,4
OTT,BUF,31,42,2,0
TBL,MTL,24,34,3,4
FLA,WSH,32,29,5,6
WPG,PHI,26,23,2,3
NSH,SJS,25,25,1,0
CHI,ANA,30,31,2,3
EDM,DAL,36,29,1,4
VAN,MIN,30,26,2,1
PIT,OTT,30,29,4,2
DET,STL,18,25,3,4
CGY,DAL,23,34,7,4
NYR,NYI,39,31,3,4
CAR,TOR,33,23,3,1
TBL,WSH,30,39,3,4
FLA,MTL,26,32,0,1
NSH,PHX,29,19,3,0
MIN,COL,29,32,3,4
BUF,BOS,26,32,4,2
NJD,PHI,19,28,5,3
WPG,PIT,26,28,1,3
DET,ANA,28,37,2,5
CHI,SJS,37,28,4,1
CGY,STL,32,25,2,5
VAN,DAL,28,29,3,4
LAK,CBJ,22,13,2,1
TOR,OTT,29,34,3,0
MTL,PHI,29,19,4,1
NYI,NJD,33,31,5,1
FLA,TBL,30,36,5,6
NSH,ANA,34,22,2,3
PHX,CBJ,35,20,5,3
EDM,COL,56,29,6,4
BUF,PIT,33,35,3,4
CHI,LAK,37,27,3,2
WPG,BOS,24,26,2,3
DAL,CGY,30,26,3,4
MIN,DET,24,31,3,2
NYR,WSH,40,28,2,1
VAN,STL,31,23,3,4
NJD,OTT,31,30,1,2
NYI,PHI,19,25,0,7
COL,NSH,28,38,6,5
MTL,CAR,26,19,3,0
FLA,TOR,37,33,0,3
PHX,CGY,37,30,4,0
ANA,CBJ,29,27,3,2
BUF,WPG,30,28,1,2
NYR,MTL,25,18,1,3
OTT,NYI,26,38,3,1
TBL,TOR,19,25,4,2
STL,SJS,26,25,1,2
NSH,DET,25,29,4,3
CHI,VAN,43,32,4,3
EDM,LAK,24,38,1,3
PIT,PHI,32,32,5,6
COL,STL,20,33,1,0
CGY,LAK,27,33,1,3
TOR,BUF,36,32,3,1
PHI,FLA,34,26,2,5
WSH,NJD,19,37,2,3
CAR,WPG,30,23,3,4
MTL,NYI,33,25,3,4
OTT,NYR,37,34,3,2
TBL,BOS,26,26,2,4
DET,CBJ,30,24,2,3
DAL,VAN,25,22,3,4
EDM,MIN,28,28,1,3
PIT,FLA,40,23,3,1
NSH,VAN,23,24,0,1
CHI,SJS,34,27,2,1
